cadence,stride_time_mean,stride_time_std,mean_pressure_left,mean_pressure_right,peak_pressure_left,peak_pressure_right,pressure_variance_left,pressure_variance_right,heel_to_toe_ratio_left,heel_to_toe_ratio_right,contact_area_left,contact_area_right,impact_force_left,impact_force_right,imu_acc_mean_left,imu_acc_mean_right,imu_acc_std_left,imu_acc_std_right,imu_gyro_mean_left,imu_gyro_mean_right,imu_gyro_std_left,imu_gyro_std_right,step_symmetry,force_symmetry,mood
90.0,0.6799999999999999,0.1603745615738356,1004.880625,713.551875,4055.0,3988.0,2006032.3769996087,1398560.1760589844,0.9278624412094268,1.8,1259,1026,3050.119375,3274.448125,6.813361666666666,2.6409491666666667,6.270911122332801,9.0073540511767,-0.2334241666666667,-0.1101616666666666,2.267832971711682,2.3930367744487104,0.6367924498264507,1.4082797043897055,angry
90.0,0.6639999999999999,0.1243543324536785,1052.6446875,710.3021875,4076.0,3988.0,2040530.450315528,1357880.467120215,0.8865652388239259,1.8,1341,1042,3023.3553125,3277.6978125,6.616664166666666,2.7066675,6.169090456438126,8.534746918154266,-0.3237291666666667,-0.1563649999999999,2.183927022395507,2.2880280075736983,0.7282051244707429,1.4819673999920386,angry
90.0,0.72,0.1500666518584325,1041.9621875,755.1115625,4060.0,3964.0,2036263.081382715,1458973.5997413087,0.98121211135619,1.8,1289,1037,3018.0378125,3208.8884375,6.804955,2.246140833333333,6.188053113296217,8.565336133081175,0.0210316666666666,0.0503833333333333,2.4061704454029345,2.2149685768400618,0.6267281077109303,1.379878468117248,angry
75.0,0.7224999999999999,0.0933742469849155,1035.9571875,798.44,4018.0,3943.0,2032468.7691045888,1495548.5689,0.8282207620253115,1.8,1262,1106,2982.0428125,3144.56,6.800273333333333,2.29313,6.221415578089033,8.484829064656124,-0.0089075,0.0095158333333333,2.3572645295505303,2.1952399416501085,0.5657894712026778,1.29747656204915,angry
90.0,0.704,0.1390827092057096,1076.21625,746.5478125,4075.0,3925.0,2109985.2901109373,1438442.8995889649,0.7380791340104026,1.8,1299,1045,2998.78375,3178.4521875,6.881925,2.23472,6.1517011045218215,8.802117008515621,-0.1584425,-0.0078308333333333,2.3088848257027497,2.262158793177284,0.5599999975111112,1.441590519104775,angry
105.0,0.59,0.055075705472861,1035.6275,706.473125,4075.0,3925.0,2093979.78374375,1405601.5742777344,0.9271260401062028,1.8,1259,981,3039.3725,3218.526875,7.024805,2.369018333333333,6.35908460212435,8.794136711639023,0.2064441666666666,0.0618458333333333,2.310319888431608,2.245007270307301,0.6431924852432278,1.4659120947227653,angry
105.0,0.6483333333333334,0.0664371047599825,948.413125,762.3196875,4048.0,3896.0,2000628.6693277345,1474302.3324874025,0.9131997910572348,1.8,1150,1067,3099.586875,3133.6803125,6.901856666666666,2.5707883333333337,6.029697302888061,8.690123932000658,-0.046,-0.0763491666666666,2.2889490878275702,2.207019949067665,0.580952378185941,1.2441146927034932,angry
90.0,0.698,0.123515181253156,1075.621875,713.82375,4070.0,3950.0,2120974.1988964844,1374491.0051859375,0.8258832803046646,1.7568488877130912,1286,1032,2994.378125,3236.17625,6.814496666666667,2.4046733333333337,6.0040794354051945,8.585869446943365,0.0626549999999999,0.0169333333333333,2.2619656170334834,2.258194351073933,0.60189573174457,1.5068451750073528,angry
90.0,0.692,0.1561281524901899,1010.1628125,676.9321875,3982.0,4057.0,2037469.41817959,1341384.523213965,0.715263803438569,1.8,1252,985,2971.8371875000003,3380.0678125,6.779204999999999,2.4517458333333333,6.220719969958595,8.660360351311368,0.0127099999999999,0.0141016666666666,2.395392417934899,2.232822311484702,0.5086956499621929,1.4922658866885894,angry
90.0,0.718,0.1284367548640185,1127.5525,753.2153125,4070.0,3950.0,2151945.5334937503,1437177.915828027,0.8192057053486007,1.8,1353,1063,2942.4475,3196.7846875,6.854265833333332,2.2836900000000004,6.388290999568349,8.481996154732682,0.3345633333333333,0.1467724999999999,2.316907562389047,2.220460756407046,0.5937499973493304,1.496985629196186,angry
75.0,0.7975,0.1323584149194905,975.0425,788.230625,4044.0,3924.0,1977324.8919437493,1515130.6374371091,0.9485134182555508,1.8,1221,1063,3068.9575,3135.769375,6.859416666666666,2.760758333333333,6.261979791146105,8.448222436204981,-0.1298424999999999,-0.1296133333333333,2.3588475705367404,2.182185455108912,0.558558556042529,1.2370015422364469,angry
