4007,2784,3345,2983,0,0,0,0,0,1523,309,1570,596,0,3603,3954
3839,2496,3089,2595,0,0,0,0,0,1607,1187,2023,665,0,3721,3951
2961,1708,2626,1843,0,0,0,0,0,1787,1691,2355,897,0,3791,3942
2581,673,1759,765,0,0,0,0,0,1971,2293,2581,1106,0,3839,4077
2211,33,496,0,0,0,0,0,0,2123,2485,2822,1393,0,3856,3958
2039,0,0,0,0,0,0,0,0,2298,2526,2967,1642,0,3917,3978
1276,0,0,0,0,0,0,0,0,2339,2579,3098,1881,0,3937,3909
997,0,0,0,0,0,0,0,0,2299,2684,3194,2096,0,3970,4032
1275,0,0,0,0,0,0,0,0,2496,2779,3293,2296,0,3971,3977
1370,0,0,0,0,0,0,0,0,2532,2922,3355,2480,0,4034,3974
1403,0,0,0,0,0,0,0,0,2608,3071,3410,2662,0,4048,3984
1398,0,0,0,0,0,0,0,1,2667,3104,3473,2768,0,4055,3937
1447,0,0,0,0,0,0,0,103,2651,3071,3504,2918,0,4037,3810
1394,0,0,0,0,0,0,0,89,2705,3153,3541,3018,0,4063,3969
1407,0,0,0,0,0,0,0,197,2743,3158,3598,3109,0,4055,3844
1425,0,0,0,0,0,0,0,302,2797,3171,3632,3147,0,4037,3801
1419,0,0,0,0,0,0,0,362,2800,3222,3670,3195,0,4016,3745
1380,0,0,0,0,0,0,0,405,2832,3212,3696,3236,0,3979,3675
1379,0,0,0,0,0,0,0,573,2880,3268,3715,3276,0,3961,3548
1354,0,0,0,0,0,0,0,694,2899,3288,3733,3303,0,3901,3460
1343,0,0,0,0,0,0,0,860,2944,3304,3851,3312,0,3841,3295
1344,0,0,0,0,0,0,0,895,2960,3293,3819,3319,0,3712,3067
1309,0,0,0,0,0,0,0,1079,2990,3334,3858,3311,0,3505,2813
1322,0,0,0,0,0,0,0,1216,3033,3345,3913,3275,0,3280,2639
1374,0,0,0,0,0,0,0,1383,3034,3235,3917,3141,0,3103,2474
1384,0,0,0,0,0,0,0,1575,3101,3416,3939,3212,0,2935,2235
1405,0,0,0,0,0,0,0,1626,3123,3437,3966,3034,0,2791,2000
1422,0,0,0,0,0,0,0,1738,3008,3434,3955,3088,0,2496,1856
1417,0,0,0,0,0,0,0,1775,3167,3473,4009,3062,0,2339,1314
1434,0,0,0,0,0,0,0,1890,3195,3547,3986,2961,0,1994,835
1456,0,0,0,0,0,0,0,1985,3233,3498,4047,2895,0,1769,407
1459,0,0,0,0,0,0,0,1931,3257,3516,4062,2858,0,1519,404
1480,0,0,0,0,0,0,0,2037,3286,3467,4080,2770,0,1270,439
1485,0,0,0,0,0,0,0,2189,3309,3549,4095,2695,0,833,366
1526,0,0,0,0,0,0,0,2224,3323,3562,3973,2523,0,545,125
1552,0,0,0,0,0,0,0,2176,3344,3562,4095,2439,0,423,0
1553,0,0,0,0,0,0,0,2594,3376,3575,4095,2327,0,0,0
1574,0,0,0,0,0,0,0,2471,3387,3567,4095,2283,0,0,0
1586,0,0,0,0,0,0,0,2559,3423,4054,4095,2219,0,0,0
1562,0,0,0,0,0,0,0,2619,3399,3603,4095,2125,0,0,0
1522,0,0,0,0,0,0,0,2736,3425,3603,4095,2000,0,0,0
1554,0,0,0,0,0,0,0,2852,3440,3603,4095,1837,0,0,0
1589,0,0,0,0,0,0,0,2933,3447,3631,4095,1821,0,0,0
1605,0,0,0,0,0,0,0,3033,3441,3639,4095,1606,0,0,0
1629,0,0,0,0,0,0,0,3098,3438,3703,4095,1363,0,0,0
1651,0,0,0,0,0,0,0,3155,3435,3652,4095,1307,0,0,0
1675,0,0,0,0,0,0,0,3247,3431,3928,4095,873,0,0,0
1699,0,0,0,0,0,0,0,3303,3391,3659,4095,688,0,0,0
1652,0,0,0,0,0,0,0,3364,3327,3654,4095,500,0,0,0
1383,0,0,0,0,0,0,33,3437,3271,3864,4095,463,0,0,0
1130,0,0,0,0,0,827,1690,3489,3248,3659,4095,356,0,0,0
1141,0,0,0,0,0,1850,2919,3536,3248,3659,4095,261,0,0,0
1533,0,0,0,0,0,2162,3286,3583,3216,3647,4095,90,0,0,0
1776,0,0,0,0,0,2512,3458,3650,3166,3677,4095,0,0,0,0
1713,0,0,0,0,0,2847,3542,3693,3095,3649,4095,0,0,0,0
2132,108,0,0,688,0,2998,3625,3738,2979,3319,4095,0,0,0,0
2336,605,0,0,768,0,3133,3657,3747,2879,3616,4095,0,0,0,0
2485,1529,262,0,832,0,3213,3667,3762,2667,3621,4087,0,0,0,0
2533,1952,1622,169,1046,0,3299,3653,3743,2382,3647,4038,0,0,0,0
2608,2195,2426,1328,1383,0,3344,3641,3685,2125,3675,4018,0,0,0,0
2676,2384,2828,1955,1591,0,3375,3622,3583,1971,3644,3923,0,0,0,0
2743,2480,3051,2374,1797,0,3389,3615,3446,1674,3601,3855,0,0,0,0
2795,2559,3216,2731,2043,0,3408,3605,3280,1428,3557,3669,0,0,0,0
2866,2643,3340,2933,2253,0,3426,3602,3040,989,3741,3666,0,0,0,0
2973,2689,3439,3092,2557,0,3444,3603,1803,775,2244,3376,0,0,0,0
3088,2767,3525,3184,2778,0,3499,3600,1649,144,1090,2832,0,0,0,0
3181,2825,3600,3271,2906,0,3497,3583,1378,0,0,1673,0,0,0,0
3251,2842,3651,3337,2994,91,3510,3559,1170,0,0,940,0,0,0,0
3296,2896,3697,3406,3109,144,3513,3525,484,0,0,0,0,0,0,0
3344,2922,3728,3465,3182,200,3513,3494,163,0,0,0,0,0,0,0
3360,2987,3718,3515,3221,241,3513,3457,0,0,0,0,0,0,0,0
3413,2996,3795,3556,3269,335,3490,3409,0,0,0,0,0,0,0,0
3465,3009,3839,3598,3315,418,3471,3370,0,0,0,0,0,0,0,0
3485,3024,3826,3632,3344,503,3449,3436,0,0,0,0,0,64,0,0
3505,3083,3839,3648,3387,560,3410,3285,0,0,0,0,0,0,0,0
3533,3087,3852,3686,3381,497,3354,3194,0,0,0,0,0,0,0,0
3550,3124,3860,3696,3377,238,3271,3043,0,0,0,0,0,0,0,0
3568,3161,3877,3714,3381,21,3189,2919,0,0,0,0,0,0,0,0
3583,3187,3885,3738,3351,0,3120,2721,0,0,0,0,0,0,0,0
3605,3227,3900,3759,3312,0,3053,2462,0,0,0,0,0,0,0,0
3629,3242,3914,3760,3270,0,2960,2221,0,0,0,0,0,0,0,0
3632,3258,3906,3767,3235,0,2864,1957,0,0,0,0,0,0,0,0
3639,3274,3910,3779,3201,0,2756,1622,0,0,0,0,0,0,0,0
3659,3280,3920,3792,3168,0,2640,1206,0,0,0,0,0,0,0,0
3659,3307,3921,3797,3133,0,2509,880,0,0,0,0,0,0,0,0
3664,3315,3919,3818,3115,0,2448,462,0,0,0,0,0,0,0,0
3673,3325,3932,3803,3071,0,2369,208,0,0,0,0,0,0,0,0
3678,3331,3930,3815,3014,0,2310,112,0,0,0,0,0,0,0,0
3689,3337,3941,3822,2988,0,2279,0,0,0,0,0,0,0,0,0
3692,3343,3947,3829,2941,0,2237,0,0,0,0,0,0,0,0,0
3703,3367,3943,3849,2941,0,2193,0,0,0,0,0,0,0,0,0
3696,3355,3945,3839,2937,0,2187,0,0,0,0,0,0,0,0,0
3709,3339,3951,3839,2912,0,2139,0,0,0,0,0,0,0,0,0
3715,3344,3953,3839,2831,0,2107,0,0,0,0,0,0,0,0,0
3726,3317,3952,3856,2791,0,2080,0,0,0,0,0,0,0,0,0
3724,3311,3952,3862,2778,0,2032,0,0,0,0,0,0,0,0,0
3725,3287,3962,3853,2753,0,1971,0,0,0,0,0,0,0,0,0
3729,3294,3966,3871,2715,0,1904,0,0,0,0,0,0,0,0,0
3728,3271,3957,3876,2686,0,1798,0,0,0,0,0,0,0,0,0
3742,3246,3963,3885,2655,0,1725,0,0,0,0,0,0,0,0,0
3741,3243,3975,3887,2608,0,1475,0,0,0,0,0,0,0,0,0
3754,3245,3974,3902,2544,0,1260,0,0,0,0,0,0,0,0,0
3759,3234,3986,3888,2544,0,986,0,0,0,0,0,0,0,0,0
3749,3229,3981,3903,2458,0,880,0,0,0,0,0,0,0,0,0
3770,3262,3989,3911,2373,0,735,0,0,0,0,0,0,0,0,0
3766,3277,3991,3911,2386,0,542,0,0,0,0,0,0,0,0,0
3790,3317,3997,3925,2225,0,368,0,0,0,0,0,0,0,0,0
3803,3312,4005,3913,2219,0,147,0,0,0,0,0,0,0,0,0
3819,3345,4006,3941,2055,0,0,0,0,0,0,0,0,0,0,0
3835,3338,4015,3934,1836,0,0,0,0,0,0,0,0,0,0,0
3847,3362,4017,3950,1755,0,0,0,0,0,0,0,0,0,0,0
3872,3351,4018,3937,1576,0,0,0,0,0,0,0,0,0,0,0
3888,3351,4018,3954,1473,0,0,0,0,0,0,0,0,0,0,0
3894,3344,4038,3957,1244,0,0,0,0,0,0,0,0,0,0,0
3920,3302,4042,3970,1012,0,0,0,0,0,0,0,0,0,0,0
3934,3301,4037,3978,1051,0,0,0,0,0,0,0,0,0,0,0
3952,3266,4035,3984,857,0,0,0,0,0,0,0,0,0,0,0
3965,3200,4038,3984,694,0,0,0,0,0,0,0,0,0,0,1153
3986,3198,4032,3997,650,0,0,0,0,0,0,0,0,0,0,2283
3986,3152,4049,3986,246,0,0,0,0,0,0,0,0,0,492,2973
4011,3095,4031,3996,240,0,0,0,0,0,0,0,0,0,1220,3319
4022,3011,4025,3989,0,0,0,0,0,0,0,0,0,0,1478,3461
4031,2947,4007,3982,0,0,0,0,0,0,0,0,0,0,1872,3565
4041,2832,3978,3966,0,0,0,0,0,0,0,0,0,0,2203,3701
