timestamp,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,acc_x_left,acc_y_left,acc_z_left,gyro_x_left,gyro_y_left,gyro_z_left,acc_x_right,acc_y_right,acc_z_right,gyro_x_right,gyro_y_right,gyro_z_right,mood
0.00,1373,3367,2910,862,2864,0,2896,2727,0,0,17,0,0,0,0,0,1.341,3.639,9.268,0.127,0.002,-0.030,-4.051,-8.693,2.162,0.605,-0.391,0.470,happy
0.01,1417,3397,2938,956,2832,0,2850,2539,0,7,0,0,0,0,0,395,1.458,3.551,9.316,0.151,0.003,-0.051,7.913,0.333,10.874,-1.446,-0.454,0.094,happy
0.02,1451,3457,2944,870,2773,0,2718,2095,0,0,0,114,0,0,1151,2245,1.365,3.524,9.275,0.232,0.009,-0.052,19.613,-19.613,15.864,-3.472,2.232,1.301,happy
0.03,1401,3488,2915,720,2730,0,2321,432,41,2710,0,134,45,22,1229,3629,1.374,3.553,9.404,0.330,0.005,-0.054,-0.014,-4.942,1.439,0.376,0.317,0.021,happy
0.04,1321,3462,2835,508,2515,0,1278,0,359,243,48,125,539,41,2385,3255,0.733,3.740,9.436,0.404,0.014,-0.078,1.858,-4.367,9.562,-0.525,-0.082,0.289,happy
0.05,1217,3393,2704,247,1839,0,269,0,688,794,890,630,1392,51,2633,3294,0.381,3.694,9.946,0.501,0.073,-0.124,1.690,-4.120,9.352,-0.242,-0.128,0.007,happy
0.06,1115,3307,2402,0,1168,0,176,0,1613,2713,161,2650,2647,1877,1705,3289,0.876,3.587,9.421,0.848,0.073,-0.084,1.460,-3.620,9.395,-0.167,-0.107,0.017,happy
0.07,894,3117,1684,0,735,0,20,0,1620,2684,1430,2641,2631,1869,1799,3219,0.862,3.340,8.885,1.002,0.139,-0.012,1.240,-3.654,9.254,-0.143,-0.135,0.015,happy
0.08,718,2815,430,0,368,0,0,0,1609,1851,1387,1625,2441,2686,3207,3592,0.022,4.264,9.790,1.188,-0.036,0.139,1.211,-3.780,9.345,-0.082,-0.042,0.028,happy
0.09,170,2131,0,0,208,0,0,0,1887,1949,2055,1717,2641,48,3247,3631,1.635,5.452,8.971,1.446,-0.321,0.248,1.159,-3.685,9.361,-0.081,-0.023,0.012,happy
0.10,100,1177,0,0,256,0,0,0,2136,1855,2108,1900,2803,47,3347,3657,0.213,7.508,9.601,1.350,-0.317,0.586,1.214,-3.788,9.397,-0.085,-0.027,0.036,happy
0.11,0,296,0,0,91,0,0,0,2348,2069,2116,2121,2875,47,3371,3666,-5.248,7.089,8.442,1.209,-0.033,-0.537,1.216,-3.733,9.325,-0.051,0.087,0.061,happy
0.12,0,0,0,0,74,0,0,0,2453,2109,2119,2207,2855,47,3371,3661,-0.498,11.691,8.789,0.716,1.100,-1.263,1.276,-3.795,9.321,-0.048,0.081,0.056,happy
0.13,0,0,0,0,0,0,0,0,2535,2159,2152,2377,2857,19,3369,3647,-1.202,9.330,8.947,0.247,1.513,-1.135,1.171,-3.883,9.268,-0.052,0.024,0.013,happy
0.14,0,0,0,0,0,0,0,0,2649,2231,2183,2503,2919,51,3375,3566,-1.295,7.487,7.415,0.302,1.159,-1.066,1.197,-3.771,9.318,-0.045,-0.005,0.010,happy
0.15,0,0,0,0,0,0,0,0,2703,2229,2193,2553,2950,63,3373,3612,-0.472,7.132,6.919,0.501,1.034,-0.971,1.190,-3.800,9.280,-0.033,-0.019,0.014,happy
0.16,0,0,0,0,0,0,0,0,2851,2294,2198,2622,3019,59,3390,3591,-0.615,7.118,7.374,0.697,0.924,-0.737,1.125,-3.826,9.242,0.000,-0.005,0.018,happy
0.17,0,0,0,0,0,0,0,0,2847,2333,2206,2647,3063,57,3416,3567,-1.027,7.163,8.013,0.746,0.787,-0.626,1.247,-3.836,9.304,-0.013,0.005,0.020,happy
0.18,0,0,0,0,0,0,0,0,2851,2358,2162,2617,3087,47,3413,3559,-1.262,6.826,7.872,0.706,0.651,-0.661,1.135,-3.773,9.266,-0.010,0.013,0.023,happy
0.19,0,0,0,0,0,0,0,0,2905,2391,2224,2763,3122,47,3385,3519,-1.741,6.467,7.736,0.766,0.706,-0.622,1.149,-3.785,9.256,-0.031,0.070,0.032,happy
0.20,0,0,0,0,0,0,0,0,2955,2472,2221,2842,3097,44,3303,3516,-1.798,6.706,8.382,0.687,0.509,-0.697,1.245,-3.905,9.134,-0.023,0.098,0.028,happy
0.21,0,0,0,0,0,0,0,0,2986,2458,2221,2900,3079,45,3273,3499,-1.604,6.644,8.432,0.533,0.439,-0.843,1.156,-3.879,9.316,-0.009,0.089,0.019,happy
0.22,0,0,0,0,0,0,0,0,3037,2519,2221,2958,3033,41,3273,3475,-1.487,6.472,8.523,0.402,0.380,-0.917,1.085,-3.759,9.184,-0.007,0.030,-0.008,happy
0.23,0,0,0,0,0,0,0,0,3052,2619,2229,3005,3156,46,3359,3471,-1.719,6.215,8.346,0.310,0.238,-0.930,1.144,-3.895,9.290,0.047,-0.045,-0.008,happy
0.24,0,0,0,0,0,0,0,0,3055,2604,2270,3013,3191,47,3391,3445,-1.676,6.184,8.071,0.208,0.194,-0.954,1.099,-3.771,9.263,0.044,-0.092,-0.015,happy
0.25,0,0,0,0,0,0,0,0,3021,2509,2218,2923,3301,47,3433,3371,-1.585,6.091,7.712,0.112,0.241,-0.971,1.051,-3.790,9.232,0.074,-0.226,-0.059,happy
0.26,0,0,0,0,0,0,0,0,2920,2652,2242,2759,3421,47,3449,3217,-1.420,5.966,7.314,0.064,0.258,-0.956,1.305,-3.673,9.321,0.010,-0.195,-0.029,happy
0.27,0,0,0,0,0,0,0,0,2861,2695,2249,2713,3461,47,3436,3148,-1.097,5.962,6.993,0.066,0.255,-0.896,1.401,-3.783,9.251,0.005,-0.155,-0.021,happy
0.28,0,0,0,0,0,0,0,0,2779,2741,2265,2641,3507,51,3469,3062,-0.922,5.844,6.749,0.072,0.253,-0.820,1.427,-3.941,9.287,0.042,-0.065,-0.004,happy
0.29,0,0,0,0,0,0,0,0,2603,2757,2226,2493,3532,47,3449,3145,-0.795,5.576,6.464,0.108,0.221,-0.740,1.401,-3.785,9.201,0.050,-0.002,0.006,happy
0.30,0,0,0,0,0,0,0,0,2537,2759,2221,2507,3499,47,3461,3176,-0.575,5.490,6.658,0.145,0.208,-0.655,1.501,-3.788,9.237,0.053,0.014,0.002,happy
0.31,0,0,0,0,0,0,0,0,2349,2687,2224,2391,3533,60,3487,3305,-0.388,5.320,6.656,0.150,0.207,-0.557,1.482,-3.768,9.191,0.135,0.030,-0.035,happy
0.32,0,0,0,0,0,0,0,0,2220,2557,2216,2303,3527,47,3534,3404,-0.168,5.047,6.553,0.156,0.211,-0.467,1.451,-3.771,9.294,0.095,0.050,-0.008,happy
0.33,0,0,0,0,0,0,0,0,2132,2493,2208,2259,3517,45,3667,3466,-0.069,4.798,6.565,0.188,0.211,-0.372,1.398,-3.800,9.251,0.118,0.063,-0.001,happy
0.34,0,0,0,0,0,0,0,0,1671,2235,2193,2037,3507,45,3601,3531,0.089,4.616,6.816,0.220,0.119,-0.243,1.396,-3.800,9.352,0.144,0.044,-0.013,happy
0.35,0,0,0,0,0,0,0,0,903,2147,2167,1659,3510,0,3644,3605,0.072,4.556,6.879,0.220,0.040,-0.082,1.456,-3.742,9.316,0.113,0.023,-0.013,happy
0.36,0,0,0,0,0,0,0,0,843,2155,2157,1369,3509,59,3653,3631,0.010,4.465,6.864,0.213,0.005,-0.017,1.310,-3.522,9.167,0.114,0.038,-0.026,happy
0.37,0,0,0,0,0,0,0,0,767,2156,2152,1151,3500,47,3655,3637,0.055,4.410,6.802,0.208,0.011,0.026,1.312,-3.603,9.280,0.115,0.045,-0.032,happy
0.38,0,0,0,0,0,0,0,0,600,2109,2142,1223,3497,47,3640,3654,0.268,4.463,6.718,0.203,0.044,0.059,1.381,-3.522,9.364,0.107,0.026,-0.047,happy
0.39,0,0,0,0,0,0,0,0,565,2067,2157,1096,3496,13,3675,3669,0.414,4.348,6.618,0.206,0.062,0.079,1.463,-3.524,9.323,0.085,0.024,-0.038,happy
0.40,0,0,0,0,0,0,0,0,482,2151,2160,1015,3491,48,3691,3676,0.172,4.300,6.706,0.209,-0.009,0.108,1.293,-3.505,9.270,0.081,0.028,-0.039,happy
0.41,0,0,0,0,0,0,0,0,431,2079,2185,948,3491,47,3699,3690,0.357,4.259,6.845,0.235,-0.137,0.154,1.460,-3.510,9.242,0.064,0.029,-0.041,happy
0.42,0,0,0,0,0,0,0,0,268,2059,2152,921,3493,0,3711,3684,0.661,4.398,7.029,0.246,-0.184,0.211,1.290,-3.543,9.333,0.066,0.023,-0.047,happy
0.43,0,0,0,0,0,0,0,0,313,2057,2142,862,3483,47,3653,3721,1.044,4.676,7.226,0.241,-0.155,0.275,1.372,-3.452,9.285,0.054,0.019,-0.051,happy
0.44,0,0,0,0,0,0,0,0,416,2027,1950,879,3475,55,3743,3727,1.176,4.724,7.202,0.217,-0.094,0.330,1.283,-3.280,9.242,0.064,0.048,-0.027,happy
0.45,0,0,0,0,0,0,0,0,310,2056,2152,916,3475,51,3743,3742,0.927,4.441,7.319,0.220,-0.129,0.413,1.405,-3.508,9.388,0.047,0.037,-0.012,happy
0.46,0,0,0,0,0,0,0,0,288,2045,2085,1013,3481,46,3753,3741,0.749,4.254,7.669,0.261,-0.292,0.536,1.283,-3.500,9.285,0.067,0.057,-0.020,happy
0.47,0,0,0,0,0,0,0,0,215,2068,2162,1083,3480,42,3763,3765,0.910,4.398,8.169,0.279,-0.406,0.666,1.322,-3.438,9.282,0.059,0.017,-0.033,happy
0.48,0,0,0,0,0,0,0,0,239,2065,2167,1101,3481,44,3767,3759,0.898,4.606,8.677,0.244,-0.411,0.795,1.417,-3.450,9.464,0.057,0.035,-0.014,happy
0.49,0,0,0,0,0,0,0,0,202,2069,2167,1189,3477,44,3782,3787,0.670,4.671,9.081,0.180,-0.390,0.893,1.415,-3.491,9.390,0.043,0.038,-0.005,happy
0.50,0,0,0,0,0,0,0,0,248,2018,2147,1149,3443,45,3753,3798,0.187,4.594,9.407,0.088,-0.425,0.987,1.365,-3.469,9.450,0.039,0.044,0.003,happy
0.51,0,0,0,0,0,0,0,0,269,1991,2142,1081,3464,49,3787,3805,-0.292,4.393,9.570,-0.005,-0.499,1.071,1.334,-3.433,9.318,0.050,0.044,-0.001,happy
0.52,0,0,0,0,0,0,0,0,265,1977,2142,1093,3445,46,3795,3817,-0.800,4.585,9.955,-0.155,-0.587,1.207,1.386,-3.345,9.292,0.027,0.048,0.019,happy
0.53,0,0,0,0,0,0,0,0,267,1995,2121,1182,3465,45,3804,3831,-1.135,5.423,11.037,-0.351,-0.577,1.273,1.377,-3.426,9.397,0.007,0.059,0.038,happy
0.54,0,0,0,0,0,0,0,0,285,1908,2142,1224,3476,45,3798,3835,-1.271,6.323,11.801,-0.763,-0.494,1.281,1.346,-3.510,9.383,0.026,0.068,0.016,happy
0.55,0,0,0,0,0,0,0,0,303,1893,2111,1226,3481,47,3829,3846,-1.547,5.964,10.788,-1.090,-0.327,1.217,1.398,-3.510,9.371,0.037,0.076,0.012,happy
0.56,0,0,0,0,0,0,0,0,291,1811,2124,1148,3487,33,3837,3860,-2.188,5.464,9.773,-1.136,-0.418,1.172,1.355,-3.500,9.371,0.064,0.072,-0.005,happy
0.57,0,0,0,0,0,0,0,0,253,1661,2126,1151,3498,40,3851,3855,-1.786,5.679,9.464,-1.034,-0.427,1.131,1.369,-3.460,9.280,0.053,0.071,-0.002,happy
0.58,0,0,0,0,0,0,0,0,253,1769,2126,1149,3503,45,3859,3853,-1.425,6.021,9.797,-0.976,-0.238,1.128,1.319,-3.330,9.364,0.020,0.070,0.023,happy
0.59,0,0,0,0,0,0,0,0,250,1755,2224,1081,3507,46,3865,3867,-1.190,5.650,9.641,-0.981,0.009,1.202,1.231,-3.426,9.383,0.019,0.066,0.042,happy
0.60,0,0,0,0,0,0,0,0,359,1773,2142,1039,3513,48,3883,3851,-1.132,5.157,9.534,-0.958,0.087,1.260,1.226,-3.419,9.340,0.002,0.076,0.057,happy
0.61,0,0,0,0,0,0,0,0,341,1698,2157,857,3515,47,3867,3851,-1.290,4.961,9.804,-0.924,0.119,1.321,1.240,-3.333,9.323,-0.011,0.071,0.056,happy
0.62,0,0,0,0,0,0,0,0,343,1688,2126,805,3511,51,3855,3839,-2.054,5.243,10.726,-0.958,0.034,1.348,1.240,-3.438,9.452,0.003,0.088,0.070,happy
0.63,0,0,0,0,0,0,0,0,311,1688,2114,679,3503,42,3860,3848,-2.272,5.808,11.593,-1.132,-0.096,1.329,1.154,-3.275,9.261,-0.017,0.092,0.076,happy
0.64,0,0,0,0,0,0,0,0,341,1612,2116,887,3404,47,3800,3851,-3.886,5.698,10.982,-1.585,0.068,1.065,1.429,-3.440,9.390,-0.027,0.158,0.126,happy
0.65,0,0,0,0,0,0,0,0,371,1497,2121,989,3301,47,3751,3861,-4.932,5.210,9.184,-1.669,-0.134,0.485,1.288,-3.450,9.325,0.011,0.216,0.119,happy
0.66,0,0,0,0,0,0,0,0,429,1579,2216,1096,3159,47,3685,3838,-4.592,5.619,8.691,-1.614,-0.279,0.119,1.326,-3.560,9.448,0.032,0.211,0.087,happy
0.67,0,0,0,0,0,0,0,0,808,1431,2147,1544,2191,51,3511,3897,-3.534,6.761,8.088,-1.573,-0.535,-0.281,1.199,-3.079,9.120,0.017,0.200,0.092,happy
0.68,0,0,0,0,0,0,0,0,1509,1463,2124,1881,2041,47,3259,3885,-1.963,7.767,7.465,-1.447,-0.758,-0.536,1.027,-3.560,9.376,-0.084,0.308,0.164,happy
0.69,0,0,0,0,0,0,0,0,1813,1432,2149,2073,1946,47,3129,3886,-1.535,8.976,8.047,-1.579,-0.752,-0.550,0.972,-3.567,9.555,-0.037,0.341,0.150,happy
0.70,0,0,0,0,141,0,0,0,2391,1349,2280,2345,1820,48,2567,3892,-2.016,7.293,4.626,-1.316,-0.881,-0.552,1.020,-3.733,9.637,0.025,0.375,0.127,happy
0.71,0,0,0,0,287,0,0,0,2622,1255,2249,2535,1477,47,2471,3885,0.117,7.937,4.094,-0.766,-1.340,-0.532,0.864,-3.500,9.531,0.014,0.408,0.121,happy
0.72,0,0,0,0,390,0,0,0,3021,1101,2188,2685,869,45,2185,3878,2.485,7.365,2.346,-0.132,-1.575,-0.208,0.340,-3.282,8.638,0.198,0.463,0.134,happy
0.73,0,0,0,0,528,0,0,0,3320,942,2178,2797,581,46,1647,3829,3.273,5.986,1.511,0.407,-0.958,-0.159,0.625,-3.476,9.608,0.029,0.427,0.091,happy
0.74,0,919,0,0,1062,0,625,459,3601,215,2167,2863,141,0,1309,3709,10.824,19.613,16.580,4.260,4.697,-1.365,0.670,-3.328,9.474,-0.033,0.338,0.074,happy
0.75,0,2303,0,0,2201,0,2286,2794,3699,2,2175,2898,10,1,957,3625,2.500,-5.195,9.112,0.078,0.839,-0.539,1.087,-3.414,9.606,-0.076,0.290,0.076,happy
0.76,0,2559,181,0,2083,0,2365,2838,3769,1,2157,2961,0,0,684,3443,-2.042,2.586,9.749,0.487,-0.011,-0.098,4.999,-3.565,11.911,-0.437,0.467,0.204,happy
0.77,285,3089,1952,0,2486,0,2779,2976,3852,0,30,2901,0,0,0,1983,0.057,4.556,10.487,0.341,-0.644,-0.006,0.163,-3.345,9.783,-0.373,0.166,0.162,happy
0.78,543,3335,2480,74,2742,0,2897,2945,3812,0,2,2845,0,0,0,1433,1.204,3.601,10.072,0.563,-0.317,0.259,4.077,-2.823,10.633,-0.527,0.372,0.274,happy
0.79,961,3456,2736,366,2974,0,2967,2896,3448,0,0,2319,0,0,0,959,1.611,4.446,9.550,0.285,0.032,0.016,-15.716,-6.515,8.942,-0.054,0.754,3.103,happy
0.80,1295,3542,2865,671,3121,0,2966,2845,710,0,0,574,4,0,0,713,1.666,3.754,9.579,0.118,-0.071,-0.284,7.350,-6.500,11.109,-0.403,1.918,4.366,happy
0.81,1535,3629,3024,830,3216,0,2992,2639,291,0,0,13,0,16,0,691,1.080,3.989,9.546,0.080,-0.028,-0.063,15.112,-11.229,8.909,-0.411,3.697,4.366,happy
0.82,1669,3645,3093,893,3264,0,2954,2191,0,0,0,0,0,43,0,405,0.749,3.847,9.378,0.090,0.027,0.054,17.913,-12.483,5.916,-2.098,0.728,-1.425,happy
0.83,1664,3659,3133,797,3287,0,2906,1598,0,0,0,0,0,0,0,456,1.147,3.778,9.278,0.110,0.011,0.015,13.161,-8.416,6.096,-2.431,0.055,-3.112,happy
0.84,1520,3682,3154,663,3298,0,2863,1177,1593,2551,0,2475,2583,1663,1567,3103,1.429,3.725,9.105,0.073,0.031,0.020,5.485,-6.699,11.222,-3.427,0.235,-4.366,happy
0.85,1510,3684,3162,698,3301,0,2789,944,0,0,0,0,0,0,30,275,1.264,3.673,9.117,0.064,-0.018,-0.023,-0.785,-1.978,13.762,-3.191,-0.260,-3.915,happy
0.86,1607,3713,3178,763,3297,0,2729,623,0,0,0,13,0,0,0,199,1.355,3.512,9.052,0.040,0.013,-0.065,-0.960,3.019,17.657,-2.102,-0.723,-2.115,happy
0.87,1659,3711,3202,845,3280,0,2640,624,0,0,0,0,9,0,0,176,1.525,3.752,9.122,0.010,0.050,-0.020,-0.871,4.963,18.414,-1.139,-0.838,-1.290,happy
