timestamp,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,acc_x_left,acc_y_left,acc_z_left,gyro_x_left,gyro_y_left,gyro_z_left,acc_x_right,acc_y_right,acc_z_right,gyro_x_right,gyro_y_right,gyro_z_right,mood
0.00,3409,3397,0,2352,3058,0,1979,0,1579,2558,0,2501,2585,1659,1561,3121,3.677,4.329,8.212,0.124,0.029,-0.037,-1.429,-2.758,9.938,-0.728,0.507,0.234,angry
0.01,3431,3406,0,2431,2992,0,1717,0,1579,2591,0,2493,2585,1655,1559,3117,3.565,4.307,8.447,0.140,0.029,-0.059,-0.941,-3.986,9.637,-0.630,0.556,0.322,angry
0.02,3442,3408,0,2452,2942,0,1392,0,1579,2566,0,2488,2583,1656,1553,3125,3.601,4.652,8.143,0.076,0.018,-0.037,0.273,-3.675,9.139,-0.563,0.653,0.432,angry
0.03,3479,3418,0,2483,2937,0,1328,0,1579,2571,12,2493,2587,1659,1563,3157,3.701,4.475,8.147,0.039,0.046,-0.021,0.077,-4.338,9.723,-0.533,0.719,0.413,angry
0.04,3505,3424,0,2506,2942,0,1296,0,1577,2567,0,2503,2588,1659,1563,3122,3.539,4.374,8.289,0.089,0.052,-0.040,1.116,-4.281,9.464,-0.376,0.768,0.362,angry
0.05,3527,3440,0,2583,2874,0,1065,0,1579,2565,0,2503,2587,1658,1563,3117,3.620,4.525,8.210,0.115,0.086,-0.033,1.348,-4.542,9.100,-0.325,0.798,0.311,angry
0.06,3546,3431,0,2659,2735,0,719,0,1580,2557,0,2494,2587,1657,1561,3119,3.531,4.434,8.337,0.139,0.101,-0.034,1.671,-4.393,7.906,-0.302,0.831,0.096,angry
0.07,3570,3429,0,2688,2559,0,655,0,1579,2557,0,2495,2585,1658,1561,3116,3.335,4.657,8.205,0.069,0.058,-0.023,2.557,-4.949,9.402,-0.292,0.721,-0.246,angry
0.08,3583,3422,0,2711,2460,0,725,0,1581,2565,0,2501,2588,1659,1563,3122,3.388,4.606,8.334,0.007,0.075,-0.007,2.892,-4.901,9.136,-0.098,0.698,-0.454,angry
0.09,3607,3399,0,2733,2237,0,845,0,1579,2567,0,2501,2587,1660,1563,3123,3.505,4.372,8.337,0.020,0.075,-0.006,3.057,-4.106,7.424,-0.263,0.571,-0.819,angry
0.10,3618,3389,0,2704,1999,0,843,0,1580,2573,0,2506,2591,1645,1568,3127,3.491,4.424,8.545,0.060,0.076,-0.011,3.316,-5.076,7.875,-0.333,0.535,-1.331,angry
0.11,3580,3318,0,2613,1945,0,853,0,1578,2568,0,2504,2591,1663,1567,3125,3.457,4.602,8.286,-0.015,0.079,-0.010,2.634,-4.659,6.381,-0.412,0.478,-1.534,angry
0.12,3618,3270,0,2627,1966,0,1023,150,1577,2535,0,2493,2585,1656,1559,3165,3.397,4.374,8.365,-0.025,0.105,0.008,2.557,-4.353,6.381,-0.756,0.320,-1.842,angry
0.13,3604,3145,0,2626,1799,0,1257,491,0,0,0,0,0,0,0,0,3.340,4.539,8.349,-0.041,0.112,0.009,1.547,-5.684,9.148,-0.518,0.144,-1.844,angry
0.14,3578,2938,0,2641,1866,0,1438,831,1578,2584,0,2503,2591,1659,1563,3113,3.371,4.575,8.394,-0.073,0.128,0.028,0.280,-4.717,8.353,-0.354,0.380,-1.642,angry
0.15,3541,2839,0,2693,1712,0,1657,1386,1577,2557,0,2495,2587,1652,1560,3097,3.481,4.254,8.428,-0.088,0.169,0.033,1.104,-4.439,9.366,-0.036,0.397,-1.477,angry
0.16,3485,2864,0,2655,1776,0,1968,2017,1579,2568,0,2502,2585,1657,1561,3123,3.081,4.118,8.811,-0.100,0.160,0.044,2.449,-3.630,11.916,0.889,0.237,-1.641,angry
0.17,3398,2806,0,2663,1798,0,2236,2455,1577,2569,7,2505,2557,1657,1563,3125,2.974,4.144,8.777,-0.177,0.225,0.017,1.353,-2.018,9.658,1.449,0.247,-2.083,angry
0.18,3244,2754,0,2644,1867,0,2423,2791,1578,2569,0,2504,2590,1695,1463,3127,3.048,4.070,9.041,-0.191,0.280,-0.037,3.201,-8.557,11.677,1.697,0.450,-1.551,angry
0.19,3006,2649,0,2384,1913,0,2425,2940,1581,2584,0,2525,2607,1661,1568,3146,3.682,5.203,8.478,-0.302,0.402,-0.079,2.121,-3.177,8.835,1.886,0.108,-0.321,angry
0.20,2495,2336,0,1757,1535,0,2326,2983,1580,2579,5,2523,2602,1647,1567,3151,4.853,6.069,7.626,-0.426,0.443,-0.056,3.326,-5.021,9.737,1.819,0.155,0.432,angry
0.21,1853,1710,0,1049,784,0,1753,2880,2153,1599,33,3076,133,5,16,7,2.646,3.826,9.005,-0.399,0.281,-0.005,1.523,-4.324,9.287,1.720,-0.073,0.601,angry
0.22,1471,985,0,375,507,0,592,1807,2079,1814,48,3194,793,16,16,13,3.984,7.326,8.849,-0.517,0.011,-0.303,0.792,-2.887,7.738,1.120,-0.047,0.558,angry
0.23,1242,496,0,0,614,0,288,0,2079,1820,40,3157,1993,17,43,23,-6.809,19.613,7.570,-1.276,-2.417,-2.922,1.664,-4.259,9.548,0.803,-0.083,0.340,angry
0.24,999,347,0,0,806,0,269,0,2099,1833,43,3281,2431,19,133,17,4.173,18.708,-4.980,-1.397,-2.291,-2.617,1.501,-3.369,9.450,0.700,-0.060,0.241,angry
0.25,863,422,0,0,848,0,328,66,1966,1927,17,3338,2911,63,725,8,3.677,11.909,4.472,-0.800,-1.146,-2.457,1.405,-1.858,10.096,0.063,0.057,-0.009,angry
0.26,777,252,0,0,562,0,107,0,1976,1775,20,3371,2793,11,1271,7,2.459,10.922,6.364,-0.849,-1.282,-2.565,1.058,-3.436,9.641,0.097,0.082,0.001,angry
